web_page_component,role,function,web_route,frontend_file,api_service_used,backend_endpoint,http_method,request,response,permissions,current_mobile_equivalent,mobile_status,required_mobile_screen_action,web_actions,api_ui_mismatch,backend_source
SmartWarehouseOperations,Public / shared,scanParcel,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/scan-events,POST,"body: ScanInput, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('parcel.receive'))",inline,parcel.receive,none found,missing,Expose scanParcel in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:130
SmartWarehouseOperations,Public / shared,body,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/upload/product-image,POST,"file: UploadFile=File(...), batch_id: str=None, db: Session=Depends(get_db), current_user: User=Depends(get_sourcing_agent)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose body in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\upload.py:37
SmartWarehouseOperations,Public / shared,receive,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/parcels,POST,"body: ParcelInput, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('parcel.receive'))",inline,parcel.receive,none found,missing,Expose receive in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:163
SmartWarehouseOperations,Public / shared,linkBooking,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/booking-selection,POST,"body: BookingSelection, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('booking.manage'))",inline,booking.manage,none found,missing,Expose linkBooking in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:204
SmartWarehouseOperations,Public / shared,startLoading,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/loading-sessions,POST,"body: LoadingStart, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('shipment.update'))",inline,shipment.update,none found,missing,Expose startLoading in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:215
SmartWarehouseOperations,Public / shared,scanLoading,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/loading-sessions/{id}/scan,POST,"session_id: UUID, body: LoadingCode, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('shipment.update'))",inline,shipment.update,none found,missing,Expose scanLoading in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:222
CargoAdminDashboard,Cargo Company,response,/cargo/dashboard,pages/cargo_admin/CargoAdminDashboard.jsx,services/api.js,/cargo_admin/dashboard,GET,"db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call exists without verified page/action parity,partially implemented,Expose response in the mobile CargoAdminDashboard flow,Retry,,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:4071
CargoAdminDashboard,Cargo Company,response,/cargo/dashboard,pages/cargo_admin/CargoAdminDashboard.jsx,services/api.js,/cargo_admin/activity-feed,GET,"entity_type: str=Query('all', description='all, container, seaBooking, booking, shipment_order'), cursor_ts: Optional[str]=Query(None, description='Pagination cursor timestamp (ISO8601)'), cursor_id: Optional[str]=Query(None, description='Pagination cursor event UUID'), limit: int=Query(20, ge=1, le=100), db: Session=Depends(get_db), current_user: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call exists without verified page/action parity,partially implemented,Expose response in the mobile CargoAdminDashboard flow,Retry,,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:5582
Containers,Cargo Company,res,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers,GET,"status: Optional[str]=None, warehouse_id: Optional[str]=None, include_archived: bool=Query(False), db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose res in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:961
Containers,Cargo Company,res,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/warehouses,GET,"db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",List[WarehouseResponse],FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose res in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:658
Containers,Cargo Company,res,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers/{id}/seaBookings,GET,"container_id: str, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose res in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1461
Containers,Cargo Company,response,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers/{id}/schedule,PATCH,"container_id: str, body: ContainerScheduleUpdate, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose response in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1208
Containers,Cargo Company,handleCreate,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers,POST,"body: ContainerCreate, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose handleCreate in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1070
Containers,Cargo Company,handleStatusUpdate,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers/{id}/status,PATCH,"container_id: str, body: ContainerStatusUpdate, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose handleStatusUpdate in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1138
Containers,Cargo Company,reason,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/sea-bookings/{id}/hold,POST,"sea_booking_id: str, body: HoldGoodsRequest, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose reason in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1524
Containers,Cargo Company,handleRelease,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/sea-bookings/{id}/release,POST,"sea_booking_id: str, body: ReleaseGoodsRequest, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose handleRelease in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1570
Containers,Cargo Company,handleCollect,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/sea-bookings/{id}/collect,POST,"sea_booking_id: str, body: MarkCollectedRequest, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose handleCollect in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:2423
Containers,Cargo Company,response,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers/{id}/archive,PATCH,"container_id: str, body: ContainerArchiveRequest, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose response in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:1341
Containers,Cargo Company,handleConfirmPayment,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/sea-bookings/{id}/confirm-payment,POST,"sea_booking_id: str, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call and route exist; interaction/state parity requires verification,partially implemented,Expose handleConfirmPayment in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:2494
Containers,Cargo Company,generated,/cargo/containers | /cargo/containers/new,pages/cargo_admin/Containers.jsx,services/api.js,/cargo_admin/containers/{id}/consolidated-packing-list/generate,POST,"container_id: str, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose generated in the mobile Containers flow,"Create | handleCollect(r.id)} className=""text-xs px-3 py-1.5 bg-brand text-white rounded hover:bg-brand-dark"">Mark Collected | handleConfirmPayment(r.id)} className=""text-xs px-3 py-1.5 bg-success text-white rounded hover:opacity-90"">Confirm Payment | handleHold(r.id)} className=""text-xs px-3 py-1.5 bg-danger-soft text-danger rounded hover:bg-danger-soft border border-danger"">Hold Goods | handleRelease(r.id)} className=""text-xs px-3 py-1.5 bg-accent text-white rounded hover:bg-accent-dark"">Release | setShowCreate(false)} className=""app-button-secondary tap-button px-6 py-2"">Cancel | setShowCreate(true)} className=""app-button-primary tap-button px-4 py-2 font-medium"">
            + New Container",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\routes.py:2295
Customers,Cargo Company,response,component/subflow,pages/cargo_admin/Customers.jsx,services/api.js,/cargo_admin/customers,GET,"search: Optional[str]=None, status: Optional[Literal['active', 'inactive']]=None, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call exists without verified page/action parity,partially implemented,Expose response in the mobile Customers flow,"setOpen(false)} className=""app-button-secondary px-4 py-2"">Cancel | setOpen(false)} className=""p-1 text-muted"">",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\customs.py:352
Customers,Cargo Company,duplicateResponse,component/subflow,pages/cargo_admin/Customers.jsx,services/api.js,/cargo_admin/customers/duplicates,POST,"body: CustomerInput, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose duplicateResponse in the mobile Customers flow,"setOpen(false)} className=""app-button-secondary px-4 py-2"">Cancel | setOpen(false)} className=""p-1 text-muted"">",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\customs.py:367
Customers,Cargo Company,matches,component/subflow,pages/cargo_admin/Customers.jsx,services/api.js,/cargo_admin/customers,POST,"body: CustomerInput, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose matches in the mobile Customers flow,"setOpen(false)} className=""app-button-secondary px-4 py-2"">Cancel | setOpen(false)} className=""p-1 text-muted"">",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\customs.py:372
CustomsPackingLists,Cargo Company,load,component/subflow,pages/cargo_admin/CustomsPackingLists.jsx,services/api.js,/cargo_admin/customs-packing-lists,GET,"status: Optional[Literal['draft', 'finalized', 'cancelled']]=None, search: Optional[str]=None, db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,API call exists without verified page/action parity,partially implemented,Expose load in the mobile CustomsPackingLists flow,"Load available source items | New ListNew | finalize(row.id)} className=""text-xs font-medium text-ink hover:underline"">Finalize | finalize(row.id)} className=""text-xs font-semibold text-ink"">Finalize | previewPdf(row.id)} className=""inline-flex items-center gap-1 text-xs font-semibold text-accent"">PDF | previewPdf(row.id)} className=""mr-3 inline-flex items-center gap-1 text-xs text-accent hover:underline"">PDF | setEditorOpen(false)} className=""app-button-secondary px-4 py-2"">Cancel | setEditorOpen(false)} className=""p-1 text-muted""> | update(""items"", form.items.filter((_, itemIndex) => itemIndex !== index))} className=""self-end text-xs text-danger hover:underline"">Remove",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\customs.py:902
CustomsPackingLists,Cargo Company,load,component/subflow,pages/cargo_admin/CustomsPackingLists.jsx,services/api.js,/cargo_admin/customs-packing-lists/lookups,GET,"db: Session=Depends(get_db), admin: User=Depends(get_cargo_admin)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose load in the mobile CustomsPackingLists flow,"Load available source items | New ListNew | finalize(row.id)} className=""text-xs font-medium text-ink hover:underline"">Finalize | finalize(row.id)} className=""text-xs font-semibold text-ink"">Finalize | previewPdf(row.id)} className=""inline-flex items-center gap-1 text-xs font-semibold text-accent"">PDF | previewPdf(row.id)} className=""mr-3 inline-flex items-center gap-1 text-xs text-accent hover:underline"">PDF | setEditorOpen(false)} className=""app-button-secondary px-4 py-2"">Cancel | setEditorOpen(false)} className=""p-1 text-muted""> | update(""items"", form.items.filter((_, itemIndex) => itemIndex !== index))} className=""self-end text-xs text-danger hover:underline"">Remove",,D:\Projects\sahajomy-platform\backend\app\api\v1\cargo_admin\customs.py:891
